pta_id,agreement_name,year,total_words,n_articles,n_chapters,hard_p1k_mean,soft_p1k_mean,enf_p1k_mean,oblig_ratio,total_words_norm,n_articles_norm,hard_p1k_mean_norm,enf_p1k_mean_norm,CCI_pilot
1,Japan - Thailand,2007,29808.0,175.0,17.0,17.746913580246915,8.68894256575416,8.923778851315083,1.9213707192119025,0.201127520492512,0.3431952662721894,0.5512871027055424,0.28939087124693896,0.3462501901792957
2,Egypt - Turkey,2005,3912.0,40.0,8.0,24.028629856850717,9.969325153374234,5.879345603271983,1.5897196659850032,0.02199702555943693,0.07692307692307693,0.7464212678936605,0.19066238359795326,0.2590009384935319
3,Chile - Japan,2007,31380.0,201.0,21.0,15.997450605481198,8.349267049075845,12.938177182919057,1.4497434533811207,0.2120015218067997,0.39447731755424065,0.49694208263835205,0.41957453559715197,0.380748864399136
4,Central European Free Trade Agreement (CEFTA) 2006,2006,789.0,6.0,3.0,13.94169835234474,3.8022813688212933,0.0,1.1630756231516688,0.00039428630719745474,0.009861932938856018,0.4330825445621983,0.0,0.11083469095206294
5,EFTA - Egypt,2007,5483.0,52.0,11.0,20.609155571767282,10.031004924311508,9.30147729345249,1.4865979694814273,0.032864109570089575,0.10059171597633138,0.6401993007400049,0.30163932373101726,0.26882361250436076
6,Southern African Customs Union (SACU),2002,4934.0,53.0,11.0,27.969193352249697,5.674908796108634,6.688285366842319,3.0197608431293066,0.029066509874450936,0.10256410256410257,0.8688302615805225,0.21689564048008828,0.30433912862479107
7,Chile - China,2005,17784.0,123.0,16.0,17.094017094017094,9.784075573549257,12.370670265407108,1.7475205999328807,0.11795386158475425,0.2406311637080868,0.5310056373886161,0.4011707490361207,0.32269035292939446
8,Trans-Pacific Strategic Economic Partnership,2005,31101.0,198.0,22.0,15.88373364200508,9.806758625124594,9.163692485772161,1.4569741141145598,0.2100715940926227,0.388560157790927,0.49340959824100883,0.2971710747746543,0.3473031062248032
9,India - Singapore,2005,31530.0,167.0,18.0,16.365366317792578,7.453219156359023,9.197589597209006,2.0266943425007176,0.21303911735205616,0.32741617357001973,0.5083709537016418,0.29827033045712986,0.3367741437702119
10,Panama - Singapore,2006,36915.0,199.0,20.0,16.30773398347555,7.693349586888798,10.537721793308952,1.9127771005463,0.250288797426763,0.3905325443786982,0.5065806726781766,0.3417297247649891,0.37228293481215674
