pta_id,name,parties,n_parties,year,date_signed,date_into_force,status,type,notification,composition,region,crossregional,parties_wto,language,wto_rta_id
43,Armenia - Russian Federation,"['ARM', 'RUS']",2,1992,1992-09-30,1993-03-25,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,48.0
44,Armenia - Moldova,"['ARM', 'MDA']",2,1993,1993-12-24,1995-12-21,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,49.0
45,Armenia - Kazakhstan,"['ARM', 'KAZ']",2,1999,1999-09-02,2001-12-25,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,50.0
46,Armenia - Ukraine,"['ARM', 'UKR']",2,1994,1994-10-07,1996-12-18,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,51.0
47,"Korea, Republic of - Chile","['CHL', 'KOR']",2,2003,2003-02-01,2004-04-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; East Asia,Yes,Yes,en,53.0
48,Central European Free Trade Agreement (CEFTA) - Accession of Croatia,[],0,2002,2002-12-05,2003-03-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe,No,Yes,en,54.0
49,Chile - Central America,"['CHL', 'CRI', 'GTM', 'HND', 'NIC', 'SLV']",6,1999,1999-10-18,2002-06-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; Central America,Yes,Yes,es,55.0
50,"China - Macao, China","['CHN', 'MAC']",2,2003,2003-10-17,2003-10-17,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,56.0
51,"China - Hong Kong, China","['CHN', 'HKG']",2,2003,2003-06-29,2003-06-29,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,57.0
52,US - Singapore,"['SGP', 'USA']",2,2003,2003-05-06,2004-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia; North America,Yes,Yes,en,58.0
53,US - Chile,"['CHL', 'USA']",2,2003,2003-06-06,2004-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; North America,Yes,Yes,en,59.0
